i,r,reg_cap_cost_mult
BATTERY,p01001,1.0113
BATTERY,p45053,1.0498
BATTERY,p26115,1.0185
BATTERY,p31043,1.001
BATTERY,p51083,1.0045
BATTERY,p18023,1.0226
BATTERY,p45055,1.0153
BATTERY,p18025,1.0202
BATTERY,p31041,0.9949
BATTERY,p55071,0.9949
BATTERY,p26117,1.0047
BATTERY,p08017,0.9946
BATTERY,p45057,1.0054
BATTERY,p18019,1.019
BATTERY,p45059,1.0138
BATTERY,p18021,1.0234
BATTERY,p45051,1.0362
BATTERY,p18027,1.0237
BATTERY,p31045,0.9863
BATTERY,p31049,0.9901
BATTERY,p18033,1.0179
BATTERY,p45043,1.0529
BATTERY,p55069,1.0034
BATTERY,p26111,1.0103
BATTERY,p45045,1.0131
BATTERY,p18031,1.012
BATTERY,p31047,0.9953
BATTERY,p51085,1.0108
BATTERY,p45047,1.0177
BATTERY,p18029,0.9962
BATTERY,p45049,1.0485
BATTERY,p26113,1.0081
BATTERY,p01107,1.0148
BATTERY,p08015,0.9963
BATTERY,p51081,1.0093
BATTERY,p45061,1.0236
BATTERY,p31039,1.0009
BATTERY,p26119,1.0108
BATTERY,p18007,1.0335
BATTERY,p45073,1.0172
BATTERY,p31033,0.991
BATTERY,p26125,1.0186
BATTERY,p51077,1.003
BATTERY,p18005,1.0166
BATTERY,p45075,1.0466
BATTERY,p45077,1.0157
BATTERY,p31031,0.9897
BATTERY,p18003,1.0177
BATTERY,p45079,1.0241
BATTERY,p01103,1.0119
BATTERY,p26127,1.0069
BATTERY,p18001,1.016
BATTERY,p51075,1.0098
BATTERY,p08021,1.011
BATTERY,p08013,0.9906
BATTERY,p45071,1.0151
BATTERY,p55073,1.0025
BATTERY,p18017,1.0268
BATTERY,p45063,1.0251
BATTERY,p01105,1.0124
BATTERY,p18015,1.0266
BATTERY,p45065,1.0197
BATTERY,p08019,0.9907
BATTERY,p31037,1.0008
BATTERY,p26121,1.0054
BATTERY,p18013,1.0187
BATTERY,p45067,1.032
BATTERY,p51079,1.0097
BATTERY,p18011,1.0205
BATTERY,p45069,1.0164
BATTERY,p31035,0.999
BATTERY,p26123,1.0045
BATTERY,p18009,1.0165
BATTERY,p45041,1.0329
BATTERY,p18035,1.017
BATTERY,p51087,1.011
BATTERY,p31065,0.9959
BATTERY,p18061,1.02
BATTERY,p45011,1.0363
BATTERY,p45013,1.0573
BATTERY,p26097,1.0087
BATTERY,p51095,1.0125
BATTERY,p18059,1.0192
BATTERY,p45015,1.0637
BATTERY,p31063,0.9943
BATTERY,p45017,1.0383
BATTERY,p26099,1.0192
BATTERY,p08007,1.0135
BATTERY,p18055,1.0224
BATTERY,p01111,1.0172
BATTERY,p31061,0.9978
BATTERY,p08005,0.9906
BATTERY,p45019,1.0675
BATTERY,p45009,1.045
BATTERY,p26095,1.0084
BATTERY,p18071,1.0173
BATTERY,p45001,1.0171
BATTERY,p18069,1.0198
BATTERY,p08003,1.0035
BATTERY,p45003,1.029
BATTERY,p01113,1.0125
BATTERY,p31069,0.9902
BATTERY,p26093,1.0164
BATTERY,p18067,1.0224
BATTERY,p45005,1.0411
BATTERY,p55063,1.0092
BATTERY,p51097,1.0158
BATTERY,p31067,1.0039
BATTERY,p18065,1.016
BATTERY,p45007,1.0162
BATTERY,p18063,1.02
BATTERY,p08023,1.0057
BATTERY,p55065,1.0157
BATTERY,p51093,1.012
BATTERY,p18043,1.02
BATTERY,p51089,1.002
BATTERY,p45033,1.0223
BATTERY,p08011,0.9968
BATTERY,p01109,1.0086
BATTERY,p31053,1.0008
BATTERY,p26107,1.0057
BATTERY,p18041,1.0076
BATTERY,p45035,1.0624
BATTERY,p18039,1.0253
BATTERY,p45037,1.0225
BATTERY,p31051,1.001
BATTERY,p18037,1.0222
BATTERY,p45039,1.0125
BATTERY,p26109,0.9995
BATTERY,p26105,1.0059
BATTERY,p18053,1.0184
BATTERY,p45031,1.0205
BATTERY,p55067,0.9998
BATTERY,p45021,1.0054
BATTERY,p26101,1.0058
BATTERY,p31059,1.0003
BATTERY,p18051,1.0291
BATTERY,p45023,1.006
BATTERY,p18049,1.0275
BATTERY,p45025,1.0103
BATTERY,p31057,0.9935
BATTERY,p08009,0.999
BATTERY,p26103,1.0051
BATTERY,p18047,1.001
BATTERY,p45027,1.0461
BATTERY,p51091,1.0053
BATTERY,p45029,1.0601
BATTERY,p18045,1.026
BATTERY,p31055,1
BATTERY,p26091,1.0166
BATTERY,p45081,1.0209
BATTERY,p17203,1.0298
BATTERY,p08037,0.9956
BATTERY,p46045,0.9919
BATTERY,p55081,1.0088
BATTERY,p31001,0.9982
BATTERY,p26153,1.0063
BATTERY,p17155,1.0275
BATTERY,p17157,1.0607
BATTERY,p46047,0.9833
BATTERY,p17153,1.039
BATTERY,p30111,0.996
BATTERY,p01095,1.0118
BATTERY,p46051,0.9999
BATTERY,p51057,1.014
BATTERY,p17151,1.0352
BATTERY,p46049,0.9924
BATTERY,p51059,1.01
BATTERY,p26151,1.0161
BATTERY,p46043,0.9967
BATTERY,p46035,0.9975
BATTERY,p01097,0.9973
BATTERY,p17165,1.0382
BATTERY,p55079,1.0275
BATTERY,p46037,0.997
BATTERY,p31005,0.9904
BATTERY,p08035,0.9906
BATTERY,p26149,1.0179
BATTERY,p17163,1.0675
BATTERY,p46039,1.0003
BATTERY,p51061,1.011
BATTERY,p17161,1.0107
BATTERY,p46041,0.9887
BATTERY,p31003,0.9988
BATTERY,p17159,1.0342
BATTERY,p26155,1.0131
BATTERY,p46053,0.9942
BATTERY,p08039,0.9916
BATTERY,p30109,0.9898
BATTERY,p01093,1.0176
BATTERY,p26161,1.0178
BATTERY,p17139,1.0365
BATTERY,p51051,1.0044
BATTERY,p46067,0.9988
BATTERY,p17137,1.044
BATTERY,p30101,0.9979
BATTERY,p08043,0.9952
BATTERY,p46069,0.9918
BATTERY,p26163,1.0198
BATTERY,p17135,1.055
BATTERY,p46071,0.9848
BATTERY,p30099,0.9944
BATTERY,p17133,1.0669
BATTERY,p55085,1.0036
BATTERY,p30103,0.9945
BATTERY,p26147,1.0181
BATTERY,p46065,0.9903
BATTERY,p17141,1.0273
BATTERY,p17149,1.0431
BATTERY,p46055,0.985
BATTERY,p26157,1.0147
BATTERY,p17147,1.0335
BATTERY,p46057,0.9991
BATTERY,p30107,0.9946
BATTERY,p17145,1.0553
BATTERY,p51053,1.0095
BATTERY,p46059,0.9931
BATTERY,p55083,0.994
BATTERY,p30105,0.995
BATTERY,p17143,1.0233
BATTERY,p08041,0.9928
BATTERY,p46061,0.9982
BATTERY,p26159,1.0174
BATTERY,p46063,0.986
BATTERY,p17167,1.0425
BATTERY,p31007,0.9907
BATTERY,p46033,0.9813
BATTERY,p26133,1.0073
BATTERY,p01101,1.0117
BATTERY,p51071,1.001
BATTERY,p46005,0.9961
BATTERY,p17191,1.0399
BATTERY,p08027,0.9976
BATTERY,p31021,1.0012
BATTERY,p46007,0.986
BATTERY,p26135,1.011
BATTERY,p55077,1.0066
BATTERY,p17189,1.0593
BATTERY,p46009,0.9986
BATTERY,p31019,0.9969
BATTERY,p17187,1.0164
BATTERY,p46011,1.0004
BATTERY,p17193,1.0351
BATTERY,p26137,1.0095
BATTERY,p31023,1.001
BATTERY,p45091,1.0025
BATTERY,p45083,1.01
BATTERY,p55075,0.9972
BATTERY,p26129,1.0112
BATTERY,p31027,1.0003
BATTERY,p17201,1.0284
BATTERY,p45085,1.0332
BATTERY,p17199,1.0422
BATTERY,p51073,1.0188
BATTERY,p45087,1.0089
BATTERY,p31025,1.0008
BATTERY,p08025,0.9955
BATTERY,p26131,1.0062
BATTERY,p17197,1.0568
BATTERY,p45089,1.0492
BATTERY,p17195,1.0151
BATTERY,p46003,0.9959
BATTERY,p31029,0.9917
BATTERY,p51069,1.0112
BATTERY,p46013,0.9944
BATTERY,p17175,1.019
BATTERY,p26143,1.0094
BATTERY,p46025,0.9972
BATTERY,p31011,0.9993
BATTERY,p51065,1.0088
BATTERY,p17173,1.0414
BATTERY,p46027,1.0007
BATTERY,p17171,1.0464
BATTERY,p46029,0.9986
BATTERY,p08033,1.0134
BATTERY,p31009,0.9935
BATTERY,p26145,1.0124
BATTERY,p17169,1.0306
BATTERY,p46031,0.989
BATTERY,p51063,1.001
BATTERY,p46023,0.9962
BATTERY,p17185,1.0314
BATTERY,p17177,1.021
BATTERY,p31013,0.9888
BATTERY,p08029,1.0057
BATTERY,p17183,1.0302
BATTERY,p31017,0.993
BATTERY,p46015,0.9936
BATTERY,p46017,0.9931
BATTERY,p26139,1.0026
BATTERY,p17181,1.0433
BATTERY,p51067,1.0006
BATTERY,p46019,0.9828
BATTERY,p31015,0.9961
BATTERY,p01099,1.0056
BATTERY,p17179,1.0293
BATTERY,p46021,0.9903
BATTERY,p26141,1.0115
BATTERY,p08031,0.99
BATTERY,p55078,0.9959
BATTERY,p46073,0.9953
BATTERY,p51099,1.0118
BATTERY,p44009,1.0464
BATTERY,p42029,1.0431
BATTERY,p18169,1.0219
BATTERY,p26041,1.0034
BATTERY,p42031,1.0162
BATTERY,p18167,1.0254
BATTERY,p31127,1.0035
BATTERY,p31129,0.999
BATTERY,p51135,1.0082
BATTERY,p18165,1.0265
BATTERY,p06091,1.0796
BATTERY,p42035,1.021
BATTERY,p26043,1.0024
BATTERY,p18163,1.0292
BATTERY,p42037,1.0271
BATTERY,p42033,1.0196
BATTERY,p55045,1.0205
BATTERY,p42027,1.0207
BATTERY,p06089,1.0775
BATTERY,p42019,1.0118
BATTERY,p06087,1.0904
BATTERY,p31133,1.0046
BATTERY,p18177,1.0094
BATTERY,p42021,1.0144
BATTERY,p26037,1.0089
BATTERY,p18175,1.019
BATTERY,p42023,1.021
BATTERY,p01129,1.0027
BATTERY,p51137,1.0107
BATTERY,p31131,1.0018
BATTERY,p18173,1.0261
BATTERY,p42025,1.031
BATTERY,p26039,1.0094
BATTERY,p18171,1.0292
BATTERY,p31125,0.9996
BATTERY,p18161,1.0033
BATTERY,p51133,1.017
BATTERY,p01127,1.0147
BATTERY,p18151,1.0175
BATTERY,p06095,1.0878
BATTERY,p42051,1.0099
BATTERY,p31117,0.9917
BATTERY,p26051,1.0101
BATTERY,p18149,1.0377
BATTERY,p42053,1.0175
BATTERY,p51127,1.0118
BATTERY,p01125,1.0145
BATTERY,p18147,1.0239
BATTERY,p42055,1.019
BATTERY,p31115,0.9947
BATTERY,p55049,1.0149
BATTERY,p26053,1.006
BATTERY,p18145,1.0178
BATTERY,p26049,1.0155
BATTERY,p18179,1.0174
BATTERY,p42049,1.015
BATTERY,p31119,1
BATTERY,p42039,1.0148
BATTERY,p26045,1.0088
BATTERY,p31123,0.9903
BATTERY,p18159,1.0208
BATTERY,p42041,1.0229
BATTERY,p55047,1.0056
BATTERY,p06093,1.0714
BATTERY,p18157,1.0268
BATTERY,p42043,1.028
BATTERY,p26047,1.0089
BATTERY,p31121,0.9997
BATTERY,p42045,1.0548
BATTERY,p18155,1.0044
BATTERY,p51131,1.0216
BATTERY,p42047,1.019
BATTERY,p18153,1.0256
BATTERY,p51139,1.0103
BATTERY,p26035,1.0084
BATTERY,p42017,1.0554
BATTERY,p06079,1.0756
BATTERY,p19021,1.0042
BATTERY,p41061,1.0363
BATTERY,p31149,0.9941
BATTERY,p26023,1.0161
BATTERY,p19019,1.0023
BATTERY,p41063,1.0329
BATTERY,p51147,1.0065
BATTERY,p19017,1.0011
BATTERY,p41065,1.0584
BATTERY,p01133,1.0145
BATTERY,p31147,1.0055
BATTERY,p26025,1.0122
BATTERY,p19015,1.0069
BATTERY,p41067,1.0601
BATTERY,p41059,1.0416
BATTERY,p06081,1.1039
BATTERY,p19023,1.0018
BATTERY,p26021,1.0345
BATTERY,p04001,1.022
BATTERY,p31155,1.0009
BATTERY,p51153,1.0109
BATTERY,p19029,1.0043
BATTERY,p41051,1.06
BATTERY,p06077,1.0766
BATTERY,p26019,1.005
BATTERY,p19027,1.0058
BATTERY,p41053,1.0601
BATTERY,p41055,1.0569
BATTERY,p31153,1
BATTERY,p19025,1.0066
BATTERY,p51149,1.0108
BATTERY,p41057,1.061
BATTERY,p31151,1.0027
BATTERY,p55039,1.0038
BATTERY,p42057,1.0155
BATTERY,p19013,1
BATTERY,p31145,0.9947
BATTERY,p19003,1.0058
BATTERY,p42009,1.0131
BATTERY,p31139,1
BATTERY,p51141,1.0018
BATTERY,p19001,1.0068
BATTERY,p06085,1.0872
BATTERY,p42011,1.0397
BATTERY,p26033,1.0108
BATTERY,p31137,0.9967
BATTERY,p55043,1.0114
BATTERY,p18183,1.0209
BATTERY,p42013,1.0179
BATTERY,p42015,1.0256
BATTERY,p18181,1.0314
BATTERY,p31135,0.9914
BATTERY,p01131,1.0082
BATTERY,p41069,1.05
BATTERY,p26031,1.0104
BATTERY,p19005,1.0074
BATTERY,p51145,1.0094
BATTERY,p41071,1.0601
BATTERY,p26027,1.0243
BATTERY,p19011,1.0038
BATTERY,p55041,1.0011
BATTERY,p42001,1.0188
BATTERY,p31143,1.001
BATTERY,p19009,1.0047
BATTERY,p42003,1.0078
BATTERY,p06083,1.0767
BATTERY,p26029,1.0085
BATTERY,p19007,1.0142
BATTERY,p42005,1.0152
BATTERY,p31141,1.0005
BATTERY,p51143,1.0026
BATTERY,p42007,1.007
BATTERY,p31071,0.9958
BATTERY,p06097,1.0937
BATTERY,p18143,1.017
BATTERY,p18097,1.02
BATTERY,p42113,1.0233
BATTERY,p06111,1.0802
BATTERY,p31085,0.9928
BATTERY,p26079,1.0085
BATTERY,p01117,1.0143
BATTERY,p26077,1.0112
BATTERY,p18095,1.019
BATTERY,p51107,1.0113
BATTERY,p18093,1.0197
BATTERY,p42117,1.0286
BATTERY,p31083,0.9969
BATTERY,p18091,1.0451
BATTERY,p42119,1.0225
BATTERY,p42115,1.0216
BATTERY,p42111,1.012
BATTERY,p31087,0.9938
BATTERY,p18099,1.0303
BATTERY,p42101,1.0593
BATTERY,p26073,1.0078
BATTERY,p18105,1.0199
BATTERY,p31091,0.9908
BATTERY,p42103,1.0366
BATTERY,p18103,1.0244
BATTERY,p06109,1.0761
BATTERY,p42105,1.0285
BATTERY,p31089,0.9969
BATTERY,p26075,1.0148
BATTERY,p55057,1.0078
BATTERY,p18101,1.0216
BATTERY,p42107,1.0325
