i,t,capcost,fom,vom,rte
mstes_14,2010,1,1,1,1
mstes_14,2011,1,1,1,1
mstes_14,2012,1,1,1,1
mstes_14,2013,1,1,1,1
mstes_14,2014,1,1,1,1
mstes_14,2015,1,1,1,1
mstes_14,2016,1,1,1,1
mstes_14,2017,1,1,1,1
mstes_14,2018,1,1,1,1
mstes_14,2019,1,1,1,1
mstes_14,2020,1,1,1,1
mstes_14,2021,1,1,1,1
mstes_14,2022,1,1,1,1
mstes_14,2023,1,1,1,1
mstes_14,2024,1,1,1,1
mstes_14,2025,1,1,1,1
mstes_14,2026,1,1,1,1
mstes_14,2027,1,1,1,1
mstes_14,2028,1,1,1,1
mstes_14,2029,1,1,1,1
mstes_14,2030,1,1,1,1
mstes_14,2031,1,1,1,1
mstes_14,2032,1,1,1,1
mstes_14,2033,1,1,1,1
mstes_14,2034,1,1,1,1
mstes_14,2035,1,1,1,1
mstes_14,2036,1,1,1,1
mstes_14,2037,1,1,1,1
mstes_14,2038,1,1,1,1
mstes_14,2039,1,1,1,1
mstes_14,2040,1,1,1,1
mstes_14,2041,1,1,1,1
mstes_14,2042,1,1,1,1
mstes_14,2043,1,1,1,1
mstes_14,2044,1,1,1,1
mstes_14,2045,1,1,1,1
mstes_14,2046,1,1,1,1
mstes_14,2047,1,1,1,1
mstes_14,2048,1,1,1,1
mstes_14,2049,1,1,1,1
mstes_14,2050,1,1,1,1
mstes_10,2010,1,1,1,1
mstes_10,2011,1,1,1,1
mstes_10,2012,1,1,1,1
mstes_10,2013,1,1,1,1
mstes_10,2014,1,1,1,1
mstes_10,2015,1,1,1,1
mstes_10,2016,1,1,1,1
mstes_10,2017,1,1,1,1
mstes_10,2018,1,1,1,1
mstes_10,2019,1,1,1,1
mstes_10,2020,1,1,1,1
mstes_10,2021,1,1,1,1
mstes_10,2022,1,1,1,1
mstes_10,2023,1,1,1,1
mstes_10,2024,1,1,1,1
mstes_10,2025,1,1,1,1
mstes_10,2026,1,1,1,1
mstes_10,2027,1,1,1,1
mstes_10,2028,1,1,1,1
mstes_10,2029,1,1,1,1
mstes_10,2030,1,1,1,1
mstes_10,2031,1,1,1,1
mstes_10,2032,1,1,1,1
mstes_10,2033,1,1,1,1
mstes_10,2034,1,1,1,1
mstes_10,2035,1,1,1,1
mstes_10,2036,1,1,1,1
mstes_10,2037,1,1,1,1
mstes_10,2038,1,1,1,1
mstes_10,2039,1,1,1,1
mstes_10,2040,1,1,1,1
mstes_10,2041,1,1,1,1
mstes_10,2042,1,1,1,1
mstes_10,2043,1,1,1,1
mstes_10,2044,1,1,1,1
mstes_10,2045,1,1,1,1
mstes_10,2046,1,1,1,1
mstes_10,2047,1,1,1,1
mstes_10,2048,1,1,1,1
mstes_10,2049,1,1,1,1
mstes_10,2050,1,1,1,1
mstes_8,2010,1,1,1,1
mstes_8,2011,1,1,1,1
mstes_8,2012,1,1,1,1
mstes_8,2013,1,1,1,1
mstes_8,2014,1,1,1,1
mstes_8,2015,1,1,1,1
mstes_8,2016,1,1,1,1
mstes_8,2017,1,1,1,1
mstes_8,2018,1,1,1,1
mstes_8,2019,1,1,1,1
mstes_8,2020,1,1,1,1
mstes_8,2021,1,1,1,1
mstes_8,2022,1,1,1,1
mstes_8,2023,1,1,1,1
mstes_8,2024,1,1,1,1
mstes_8,2025,1,1,1,1
mstes_8,2026,1,1,1,1
mstes_8,2027,1,1,1,1
mstes_8,2028,1,1,1,1
mstes_8,2029,1,1,1,1
mstes_8,2030,1,1,1,1
mstes_8,2031,1,1,1,1
mstes_8,2032,1,1,1,1
mstes_8,2033,1,1,1,1
mstes_8,2034,1,1,1,1
mstes_8,2035,1,1,1,1
mstes_8,2036,1,1,1,1
mstes_8,2037,1,1,1,1
mstes_8,2038,1,1,1,1
mstes_8,2039,1,1,1,1
mstes_8,2040,1,1,1,1
mstes_8,2041,1,1,1,1
mstes_8,2042,1,1,1,1
mstes_8,2043,1,1,1,1
mstes_8,2044,1,1,1,1
mstes_8,2045,1,1,1,1
mstes_8,2046,1,1,1,1
mstes_8,2047,1,1,1,1
mstes_8,2048,1,1,1,1
mstes_8,2049,1,1,1,1
mstes_8,2050,1,1,1,1
mstes_6,2010,1,1,1,1
mstes_6,2011,1,1,1,1
mstes_6,2012,1,1,1,1
mstes_6,2013,1,1,1,1
mstes_6,2014,1,1,1,1
mstes_6,2015,1,1,1,1
mstes_6,2016,1,1,1,1
mstes_6,2017,1,1,1,1
mstes_6,2018,1,1,1,1
mstes_6,2019,1,1,1,1
mstes_6,2020,1,1,1,1
mstes_6,2021,1,1,1,1
mstes_6,2022,1,1,1,1
mstes_6,2023,1,1,1,1
mstes_6,2024,1,1,1,1
mstes_6,2025,1,1,1,1
mstes_6,2026,1,1,1,1
mstes_6,2027,1,1,1,1
mstes_6,2028,1,1,1,1
mstes_6,2029,1,1,1,1
mstes_6,2030,1,1,1,1
mstes_6,2031,1,1,1,1
mstes_6,2032,1,1,1,1
mstes_6,2033,1,1,1,1
mstes_6,2034,1,1,1,1
mstes_6,2035,1,1,1,1
mstes_6,2036,1,1,1,1
mstes_6,2037,1,1,1,1
mstes_6,2038,1,1,1,1
mstes_6,2039,1,1,1,1
mstes_6,2040,1,1,1,1
mstes_6,2041,1,1,1,1
mstes_6,2042,1,1,1,1
mstes_6,2043,1,1,1,1
mstes_6,2044,1,1,1,1
mstes_6,2045,1,1,1,1
mstes_6,2046,1,1,1,1
mstes_6,2047,1,1,1,1
mstes_6,2048,1,1,1,1
mstes_6,2049,1,1,1,1
mstes_6,2050,1,1,1,1
