i,t,capcost,fom,vom,rte
mstes_14,2010,4206.118498,34.76583464,4.892457604,0.377
mstes_14,2011,4206.118498,34.76583464,4.892457604,0.377
mstes_14,2012,4206.118498,34.76583464,4.892457604,0.377
mstes_14,2013,4206.118498,34.76583464,4.892457604,0.377
mstes_14,2014,4206.118498,34.76583464,4.892457604,0.377
mstes_14,2015,4206.118498,34.76583464,4.892457604,0.356
mstes_14,2016,4206.118498,34.76583464,4.892457604,0.356
mstes_14,2017,4206.118498,34.76583464,4.892457604,0.356
mstes_14,2018,4013.514213,34.76583464,4.807945152,0.356
mstes_14,2019,3826.649901,34.76583464,4.807945152,0.356
mstes_14,2020,3629.430378,34.76583464,4.621539781,0.356
mstes_14,2021,3432.210855,34.76583464,4.43513441,0.356
mstes_14,2022,3422.48723,34.76574908,4.435123494,0.412
mstes_14,2023,3272.748281,33.6226837,4.300974137,0.412
mstes_14,2024,3123.009331,32.47961832,4.166824779,0.412
mstes_14,2025,2973.270382,31.33655294,4.032675422,0.412
mstes_14,2026,2823.531432,30.19348756,3.898526064,0.412
mstes_14,2027,2673.792483,29.05042219,3.764376707,0.412
mstes_14,2028,2524.053533,27.90735681,3.63022735,0.412
mstes_14,2029,2374.314584,26.76429143,3.496077992,0.412
mstes_14,2030,2224.575634,25.62122605,3.361928635,0.412
mstes_14,2031,2208.685808,25.55134998,3.361928635,0.412
mstes_14,2032,2192.795983,25.48147391,3.361928635,0.412
mstes_14,2033,2176.906156,25.41159783,3.361928635,0.412
mstes_14,2034,2161.016331,25.34172176,3.361928635,0.412
mstes_14,2035,2145.126504,25.27184569,3.361928635,0.412
mstes_14,2036,2129.236679,25.20196962,3.361928635,0.412
mstes_14,2037,2113.346853,25.13209355,3.361928635,0.412
mstes_14,2038,2097.457027,25.06221748,3.361928635,0.412
mstes_14,2039,2081.567201,24.99234141,3.361928635,0.412
mstes_14,2040,2065.677375,24.92246534,3.361928635,0.412
mstes_14,2041,2049.787549,24.85258927,3.361928635,0.412
mstes_14,2042,2033.897723,24.7827132,3.361928635,0.412
mstes_14,2043,2018.007897,24.71283713,3.361928635,0.412
mstes_14,2044,2002.118071,24.64296105,3.361928635,0.412
mstes_14,2045,1986.228245,24.57308498,3.361928635,0.412
mstes_14,2046,1970.338419,24.50320891,3.361928635,0.412
mstes_14,2047,1954.448593,24.43333284,3.361928635,0.412
mstes_14,2048,1938.558767,24.36345677,3.361928635,0.412
mstes_14,2049,1922.668941,24.2935807,3.361928635,0.412
mstes_14,2050,1906.779115,24.22370463,3.361928635,0.412
mstes_10,2010,3770.992769,32.91660462,4.892457604,0.377
mstes_10,2011,3770.992769,32.91660462,4.892457604,0.377
mstes_10,2012,3770.992769,32.91660462,4.892457604,0.377
mstes_10,2013,3770.992769,32.91660462,4.892457604,0.377
mstes_10,2014,3770.992769,32.91660462,4.892457604,0.377
mstes_10,2015,3770.992769,32.91660462,4.892457604,0.356
mstes_10,2016,3770.992769,32.91660462,4.892457604,0.356
mstes_10,2017,3770.992769,32.91660462,4.892457604,0.356
mstes_10,2018,3596.87779,32.34800226,4.807945152,0.356
mstes_10,2019,3113.17954,31.39113134,4.006648147,0.356
mstes_10,2020,3096.280725,31.2915309,3.982154074,0.356
mstes_10,2021,3079.38191,31.19193046,3.95766,0.356
mstes_10,2022,3070.665425,31.19193046,3.95766,0.412
mstes_10,2023,2936.319207,30.1663689,3.8379525,0.412
mstes_10,2024,2801.972989,29.14080734,3.718245,0.412
mstes_10,2025,2667.626772,28.11524578,3.5985375,0.412
mstes_10,2026,2533.280554,27.08968422,3.47883,0.412
mstes_10,2027,2398.934336,26.06412267,3.3591225,0.412
mstes_10,2028,2264.588118,25.03856111,3.239415,0.412
mstes_10,2029,2130.2419,24.01299955,3.1197075,0.412
mstes_10,2030,1995.895683,22.98743799,3,0.412
mstes_10,2031,1981.639285,22.92474498,3,0.412
mstes_10,2032,1967.382887,22.86205196,3,0.412
mstes_10,2033,1953.126489,22.79935895,3,0.412
mstes_10,2034,1938.870092,22.73666594,3,0.412
mstes_10,2035,1924.613694,22.67397293,3,0.412
mstes_10,2036,1910.357296,22.61127991,3,0.412
mstes_10,2037,1896.100898,22.5485869,3,0.412
mstes_10,2038,1881.8445,22.48589389,3,0.412
mstes_10,2039,1867.588103,22.42320088,3,0.412
mstes_10,2040,1853.331705,22.36050786,3,0.412
mstes_10,2041,1839.075308,22.29781485,3,0.412
mstes_10,2042,1824.81891,22.23512184,3,0.412
mstes_10,2043,1810.562512,22.17242882,3,0.412
mstes_10,2044,1796.306114,22.10973581,3,0.412
mstes_10,2045,1782.049716,22.0470428,3,0.412
mstes_10,2046,1767.793319,21.98434979,3,0.412
mstes_10,2047,1753.536921,21.92165677,3,0.412
mstes_10,2048,1739.280523,21.85896376,3,0.412
mstes_10,2049,1725.024126,21.79627075,3,0.412
mstes_10,2050,1710.767728,21.73357774,3,0.412
mstes_8,2010,3543.115599,43.74953313,4.892457604,0.377
mstes_8,2011,3543.115599,43.74953313,4.892457604,0.377
mstes_8,2012,3543.115599,43.74953313,4.892457604,0.377
mstes_8,2013,3543.115599,43.74953313,4.892457604,0.377
mstes_8,2014,3543.115599,43.74953313,4.892457604,0.377
mstes_8,2015,3543.115599,43.74953313,4.892457604,0.356
mstes_8,2016,3543.115599,43.74953313,4.892457604,0.356
mstes_8,2017,3543.115599,43.74953313,4.892457604,0.356
mstes_8,2018,3494.630907,43.7676909,4.894488165,0.356
mstes_8,2019,3353.27952,43.7676909,4.894488165,0.356
mstes_8,2020,3128.369927,36.58883098,3.851035029,0.356
mstes_8,2021,2903.460335,29.40997106,2.807581893,0.356
mstes_8,2022,2894.754523,29.40502115,2.807109356,0.412
mstes_8,2023,2768.104671,28.4382115,2.722202608,0.412
mstes_8,2024,2641.454818,27.47140185,2.637295859,0.412
mstes_8,2025,2514.804967,26.5045922,2.55238911,0.412
mstes_8,2026,2388.155115,25.53778255,2.467482361,0.412
mstes_8,2027,2261.505263,24.57097291,2.382575613,0.412
mstes_8,2028,2134.85541,23.60416325,2.297668864,0.412
mstes_8,2029,2008.205558,22.63735361,2.212762115,0.412
mstes_8,2030,1881.555707,21.67054396,2.127855366,0.412
mstes_8,2031,1868.116023,21.61144248,2.127855366,0.412
mstes_8,2032,1854.676339,21.55234099,2.127855366,0.412
mstes_8,2033,1841.236655,21.49323951,2.127855366,0.412
mstes_8,2034,1827.796972,21.43413802,2.127855366,0.412
mstes_8,2035,1814.357289,21.37503655,2.127855366,0.412
mstes_8,2036,1800.917605,21.31593506,2.127855366,0.412
mstes_8,2037,1787.477921,21.25683358,2.127855366,0.412
mstes_8,2038,1774.038237,21.19773209,2.127855366,0.412
mstes_8,2039,1760.598554,21.13863061,2.127855366,0.412
mstes_8,2040,1747.15887,21.07952912,2.127855366,0.412
mstes_8,2041,1733.719187,21.02042764,2.127855366,0.412
mstes_8,2042,1720.279503,20.96132616,2.127855366,0.412
mstes_8,2043,1706.839819,20.90222468,2.127855366,0.412
mstes_8,2044,1693.400136,20.84312319,2.127855366,0.412
mstes_8,2045,1679.960452,20.78402171,2.127855366,0.412
mstes_8,2046,1666.520769,20.72492022,2.127855366,0.412
mstes_8,2047,1653.081085,20.66581874,2.127855366,0.412
mstes_8,2048,1639.641401,20.60671726,2.127855366,0.412
mstes_8,2049,1626.201718,20.54761577,2.127855366,0.412
mstes_8,2050,1612.762034,20.48851429,2.127855366,0.412
mstes_6,2010,3322.121501,47.57730694,4.892457604,0.377
mstes_6,2011,3322.121501,47.57730694,4.892457604,0.377
mstes_6,2012,3322.121501,47.57730694,4.892457604,0.377
mstes_6,2013,3322.121501,47.57730694,4.892457604,0.377
mstes_6,2014,3322.121501,47.57730694,4.892457604,0.377
mstes_6,2015,3322.121501,47.57730694,4.892457604,0.356
mstes_6,2016,3322.121501,47.57730694,4.892457604,0.356
mstes_6,2017,3322.121501,47.57730694,4.892457604,0.356
mstes_6,2018,3269.190702,47.59705338,4.894488165,0.356
mstes_6,2019,3138.802344,47.59705338,4.894488165,0.356
mstes_6,2020,2932.986964,37.6106729,3.65971846,0.356
mstes_6,2021,2727.171583,27.62429243,2.424948757,0.356
mstes_6,2022,2718.84362,27.61811184,2.424406205,0.412
mstes_6,2023,2599.890134,26.7100541,2.351075093,0.412
mstes_6,2024,2480.936648,25.80199636,2.277743982,0.412
mstes_6,2025,2361.983162,24.89393862,2.204412871,0.412
mstes_6,2026,2243.029676,23.98588088,2.13108176,0.412
mstes_6,2027,2124.076189,23.07782315,2.057750648,0.412
mstes_6,2028,2005.122703,22.16976541,1.984419537,0.412
mstes_6,2029,1886.169217,21.26170767,1.911088426,0.412
mstes_6,2030,1767.215731,20.35364994,1.837757315,0.412
mstes_6,2031,1754.592762,20.29813998,1.837757315,0.412
mstes_6,2032,1741.969792,20.24263003,1.837757315,0.412
mstes_6,2033,1729.346822,20.18712007,1.837757315,0.412
mstes_6,2034,1716.723853,20.13161011,1.837757315,0.412
mstes_6,2035,1704.100883,20.07610016,1.837757315,0.412
mstes_6,2036,1691.477913,20.02059021,1.837757315,0.412
mstes_6,2037,1678.854944,19.96508025,1.837757315,0.412
mstes_6,2038,1666.231975,19.9095703,1.837757315,0.412
mstes_6,2039,1653.609005,19.85406034,1.837757315,0.412
mstes_6,2040,1640.986036,19.79855039,1.837757315,0.412
mstes_6,2041,1628.363066,19.74304043,1.837757315,0.412
mstes_6,2042,1615.740097,19.68753048,1.837757315,0.412
mstes_6,2043,1603.117127,19.63202053,1.837757315,0.412
mstes_6,2044,1590.494158,19.57651057,1.837757315,0.412
mstes_6,2045,1577.871188,19.52100062,1.837757315,0.412
mstes_6,2046,1565.248218,19.46549066,1.837757315,0.412
mstes_6,2047,1552.625249,19.40998071,1.837757315,0.412
mstes_6,2048,1540.00228,19.35447075,1.837757315,0.412
mstes_6,2049,1527.37931,19.2989608,1.837757315,0.412
mstes_6,2050,1514.756341,19.24345084,1.837757315,0.412
