i,t,capcost,fom,vom,heatrate
Nuclear-SMR-TES_1,2010,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2011,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2012,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2013,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2014,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2015,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2016,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2017,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2018,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2019,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2020,9799.615997,128.9042058,3.37433865,10.455
Nuclear-SMR-TES_1,2021,10758.32964,128.304,3.3804,10.455
Nuclear-SMR-TES_1,2022,7599.940513,118,2.2,9.18
Nuclear-SMR-TES_1,2023,7509.302282,118,2.2,9.18
Nuclear-SMR-TES_1,2024,7418.66405,118,2.2,9.18
Nuclear-SMR-TES_1,2025,7328.025819,118,2.2,9.18
Nuclear-SMR-TES_1,2026,7237.387588,118,2.2,9.18
Nuclear-SMR-TES_1,2027,7146.749357,118,2.2,9.18
Nuclear-SMR-TES_1,2028,7056.111126,118,2.2,9.18
Nuclear-SMR-TES_1,2029,6965.472895,118,2.2,9.18
Nuclear-SMR-TES_1,2030,6874.834663,118,2.2,9.18
Nuclear-SMR-TES_1,2031,6415.213475,118,2.2,9.18
Nuclear-SMR-TES_1,2032,5955.592286,118,2.2,9.18
Nuclear-SMR-TES_1,2033,5495.971098,118,2.2,9.18
Nuclear-SMR-TES_1,2034,5036.349909,118,2.2,9.18
Nuclear-SMR-TES_1,2035,4576.728721,118,2.2,9.18
Nuclear-SMR-TES_1,2036,4417.107532,118,2.2,9.18
Nuclear-SMR-TES_1,2037,4257.486344,118,2.2,9.18
Nuclear-SMR-TES_1,2038,4097.865155,118,2.2,9.18
Nuclear-SMR-TES_1,2039,3938.243967,118,2.2,9.18
Nuclear-SMR-TES_1,2040,3778.622778,118,2.2,9.18
Nuclear-SMR-TES_1,2041,3719.00159,118,2.2,9.18
Nuclear-SMR-TES_1,2042,3659.380401,118,2.2,9.18
Nuclear-SMR-TES_1,2043,3599.759213,118,2.2,9.18
Nuclear-SMR-TES_1,2044,3540.138024,118,2.2,9.18
Nuclear-SMR-TES_1,2045,3480.516836,118,2.2,9.18
Nuclear-SMR-TES_1,2046,3420.895647,118,2.2,9.18
Nuclear-SMR-TES_1,2047,3361.274458,118,2.2,9.18
Nuclear-SMR-TES_1,2048,3301.65327,118,2.2,9.18
Nuclear-SMR-TES_1,2049,3242.032081,118,2.2,9.18
Nuclear-SMR-TES_1,2050,3182.410893,118,2.2,9.18
Nuclear-SMR-TES_2,2010,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2011,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2012,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2013,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2014,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2015,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2016,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2017,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2018,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2019,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2020,9933.962288,128.9042058,3.37433865,10.455
Nuclear-SMR-TES_2,2021,10892.67593,128.304,3.3804,10.455
Nuclear-SMR-TES_2,2022,7734.286804,118,2.2,9.18
Nuclear-SMR-TES_2,2023,7637.84988,118,2.2,9.18
Nuclear-SMR-TES_2,2024,7541.412956,118,2.2,9.18
Nuclear-SMR-TES_2,2025,7444.976032,118,2.2,9.18
Nuclear-SMR-TES_2,2026,7348.539108,118,2.2,9.18
Nuclear-SMR-TES_2,2027,7252.102184,118,2.2,9.18
Nuclear-SMR-TES_2,2028,7155.665259,118,2.2,9.18
Nuclear-SMR-TES_2,2029,7059.228335,118,2.2,9.18
Nuclear-SMR-TES_2,2030,6962.791411,118,2.2,9.18
Nuclear-SMR-TES_2,2031,6502.554695,118,2.2,9.18
Nuclear-SMR-TES_2,2032,6042.317979,118,2.2,9.18
Nuclear-SMR-TES_2,2033,5582.081263,118,2.2,9.18
Nuclear-SMR-TES_2,2034,5121.844547,118,2.2,9.18
Nuclear-SMR-TES_2,2035,4661.607831,118,2.2,9.18
Nuclear-SMR-TES_2,2036,4501.371115,118,2.2,9.18
Nuclear-SMR-TES_2,2037,4341.134399,118,2.2,9.18
Nuclear-SMR-TES_2,2038,4180.897684,118,2.2,9.18
Nuclear-SMR-TES_2,2039,4020.660968,118,2.2,9.18
Nuclear-SMR-TES_2,2040,3860.424252,118,2.2,9.18
Nuclear-SMR-TES_2,2041,3800.187536,118,2.2,9.18
Nuclear-SMR-TES_2,2042,3739.95082,118,2.2,9.18
Nuclear-SMR-TES_2,2043,3679.714104,118,2.2,9.18
Nuclear-SMR-TES_2,2044,3619.477388,118,2.2,9.18
Nuclear-SMR-TES_2,2045,3559.240672,118,2.2,9.18
Nuclear-SMR-TES_2,2046,3499.003956,118,2.2,9.18
Nuclear-SMR-TES_2,2047,3438.76724,118,2.2,9.18
Nuclear-SMR-TES_2,2048,3378.530524,118,2.2,9.18
Nuclear-SMR-TES_2,2049,3318.293808,118,2.2,9.18
Nuclear-SMR-TES_2,2050,3258.057092,118,2.2,9.18
Nuclear-SMR-TES_3,2010,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2011,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2012,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2013,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2014,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2015,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2016,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2017,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2018,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2019,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2020,10068.30858,128.9042058,3.37433865,10.455
Nuclear-SMR-TES_3,2021,11027.02222,128.304,3.3804,10.455
Nuclear-SMR-TES_3,2022,7868.633095,118,2.2,9.18
Nuclear-SMR-TES_3,2023,7766.397478,118,2.2,9.18
Nuclear-SMR-TES_3,2024,7664.161861,118,2.2,9.18
Nuclear-SMR-TES_3,2025,7561.926244,118,2.2,9.18
Nuclear-SMR-TES_3,2026,7459.690627,118,2.2,9.18
Nuclear-SMR-TES_3,2027,7357.45501,118,2.2,9.18
Nuclear-SMR-TES_3,2028,7255.219393,118,2.2,9.18
Nuclear-SMR-TES_3,2029,7152.983776,118,2.2,9.18
Nuclear-SMR-TES_3,2030,7050.748159,118,2.2,9.18
Nuclear-SMR-TES_3,2031,6589.895916,118,2.2,9.18
Nuclear-SMR-TES_3,2032,6129.043672,118,2.2,9.18
Nuclear-SMR-TES_3,2033,5668.191429,118,2.2,9.18
Nuclear-SMR-TES_3,2034,5207.339185,118,2.2,9.18
Nuclear-SMR-TES_3,2035,4746.486942,118,2.2,9.18
Nuclear-SMR-TES_3,2036,4585.634699,118,2.2,9.18
