i,t,capcost,fom,vom,heatrate
Nuclear-SMR-TES_1,2010,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2011,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2012,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2013,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2014,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2015,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2016,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2017,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2018,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2019,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2020,9799.615997,128.9042058,3.37433865,10.455
Nuclear-SMR-TES_1,2021,10758.32964,128.304,3.3804,10.455
Nuclear-SMR-TES_1,2022,12099.94051,216,2.8,9.18
Nuclear-SMR-TES_1,2023,12009.30228,216,2.8,9.18
Nuclear-SMR-TES_1,2024,11918.66405,216,2.8,9.18
Nuclear-SMR-TES_1,2025,11828.02582,216,2.8,9.18
Nuclear-SMR-TES_1,2026,11737.38759,216,2.8,9.18
Nuclear-SMR-TES_1,2027,11646.74936,216,2.8,9.18
Nuclear-SMR-TES_1,2028,11556.11113,216,2.8,9.18
Nuclear-SMR-TES_1,2029,11465.47289,216,2.8,9.18
Nuclear-SMR-TES_1,2030,11374.83466,216,2.8,9.18
Nuclear-SMR-TES_1,2031,11265.21347,216,2.8,9.18
Nuclear-SMR-TES_1,2032,11155.59229,216,2.8,9.18
Nuclear-SMR-TES_1,2033,11045.9711,216,2.8,9.18
Nuclear-SMR-TES_1,2034,10936.34991,216,2.8,9.18
Nuclear-SMR-TES_1,2035,10826.72872,216,2.8,9.18
Nuclear-SMR-TES_1,2036,10517.10753,216,2.8,9.18
Nuclear-SMR-TES_1,2037,10207.48634,216,2.8,9.18
Nuclear-SMR-TES_1,2038,9897.865155,216,2.8,9.18
Nuclear-SMR-TES_1,2039,9588.243967,216,2.8,9.18
Nuclear-SMR-TES_1,2040,9278.622778,216,2.8,9.18
Nuclear-SMR-TES_1,2041,9069.00159,216,2.8,9.18
Nuclear-SMR-TES_1,2042,8859.380401,216,2.8,9.18
Nuclear-SMR-TES_1,2043,8649.759213,216,2.8,9.18
Nuclear-SMR-TES_1,2044,8440.138024,216,2.8,9.18
Nuclear-SMR-TES_1,2045,8230.516836,216,2.8,9.18
Nuclear-SMR-TES_1,2046,8070.895647,216,2.8,9.18
Nuclear-SMR-TES_1,2047,7911.274458,216,2.8,9.18
Nuclear-SMR-TES_1,2048,7751.65327,216,2.8,9.18
Nuclear-SMR-TES_1,2049,7592.032081,216,2.8,9.18
Nuclear-SMR-TES_1,2050,7432.410893,216,2.8,9.18
Nuclear-SMR-TES_2,2010,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2011,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2012,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2013,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2014,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2015,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2016,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2017,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2018,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2019,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2020,9933.962288,128.9042058,3.37433865,10.455
Nuclear-SMR-TES_2,2021,10892.67593,128.304,3.3804,10.455
Nuclear-SMR-TES_2,2022,12234.2868,216,2.8,9.18
Nuclear-SMR-TES_2,2023,12137.84988,216,2.8,9.18
Nuclear-SMR-TES_2,2024,12041.41296,216,2.8,9.18
Nuclear-SMR-TES_2,2025,11944.97603,216,2.8,9.18
Nuclear-SMR-TES_2,2026,11848.53911,216,2.8,9.18
Nuclear-SMR-TES_2,2027,11752.10218,216,2.8,9.18
Nuclear-SMR-TES_2,2028,11655.66526,216,2.8,9.18
Nuclear-SMR-TES_2,2029,11559.22834,216,2.8,9.18
Nuclear-SMR-TES_2,2030,11462.79141,216,2.8,9.18
Nuclear-SMR-TES_2,2031,11352.5547,216,2.8,9.18
Nuclear-SMR-TES_2,2032,11242.31798,216,2.8,9.18
Nuclear-SMR-TES_2,2033,11132.08126,216,2.8,9.18
Nuclear-SMR-TES_2,2034,11021.84455,216,2.8,9.18
Nuclear-SMR-TES_2,2035,10911.60783,216,2.8,9.18
Nuclear-SMR-TES_2,2036,10601.37112,216,2.8,9.18
Nuclear-SMR-TES_2,2037,10291.1344,216,2.8,9.18
Nuclear-SMR-TES_2,2038,9980.897684,216,2.8,9.18
Nuclear-SMR-TES_2,2039,9670.660968,216,2.8,9.18
Nuclear-SMR-TES_2,2040,9360.424252,216,2.8,9.18
Nuclear-SMR-TES_2,2041,9150.187536,216,2.8,9.18
Nuclear-SMR-TES_2,2042,8939.95082,216,2.8,9.18
Nuclear-SMR-TES_2,2043,8729.714104,216,2.8,9.18
Nuclear-SMR-TES_2,2044,8519.477388,216,2.8,9.18
Nuclear-SMR-TES_2,2045,8309.240672,216,2.8,9.18
Nuclear-SMR-TES_2,2046,8149.003956,216,2.8,9.18
Nuclear-SMR-TES_2,2047,7988.76724,216,2.8,9.18
Nuclear-SMR-TES_2,2048,7828.530524,216,2.8,9.18
Nuclear-SMR-TES_2,2049,7668.293808,216,2.8,9.18
Nuclear-SMR-TES_2,2050,7508.057092,216,2.8,9.18
Nuclear-SMR-TES_3,2010,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2011,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2012,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2013,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2014,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2015,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2016,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2017,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2018,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2019,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2020,10068.30858,128.9042058,3.37433865,10.455
Nuclear-SMR-TES_3,2021,11027.02222,128.304,3.3804,10.455
Nuclear-SMR-TES_3,2022,12368.6331,216,2.8,9.18
Nuclear-SMR-TES_3,2023,12266.39748,216,2.8,9.18
Nuclear-SMR-TES_3,2024,12164.16186,216,2.8,9.18
Nuclear-SMR-TES_3,2025,12061.92624,216,2.8,9.18
Nuclear-SMR-TES_3,2026,11959.69063,216,2.8,9.18
Nuclear-SMR-TES_3,2027,11857.45501,216,2.8,9.18
Nuclear-SMR-TES_3,2028,11755.21939,216,2.8,9.18
Nuclear-SMR-TES_3,2029,11652.98378,216,2.8,9.18
Nuclear-SMR-TES_3,2030,11550.74816,216,2.8,9.18
Nuclear-SMR-TES_3,2031,11439.89592,216,2.8,9.18
Nuclear-SMR-TES_3,2032,11329.04367,216,2.8,9.18
Nuclear-SMR-TES_3,2033,11218.19143,216,2.8,9.18
Nuclear-SMR-TES_3,2034,11107.33919,216,2.8,9.18
Nuclear-SMR-TES_3,2035,10996.48694,216,2.8,9.18
Nuclear-SMR-TES_3,2036,10685.6347,216,2.8,9.18
