i,t,capcost,fom,vom,heatrate
Nuclear-SMR-TES_1,2010,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2011,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2012,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2013,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2014,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2015,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2016,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2017,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2018,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2019,9724.508215,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_1,2020,9799.615997,128.9042058,3.37433865,10.455
Nuclear-SMR-TES_1,2021,10758.32964,128.304,3.3804,10.455
Nuclear-SMR-TES_1,2022,10099.94051,136,2.6,9.18
Nuclear-SMR-TES_1,2023,10009.30228,136,2.6,9.18
Nuclear-SMR-TES_1,2024,9918.66405,136,2.6,9.18
Nuclear-SMR-TES_1,2025,9828.025819,136,2.6,9.18
Nuclear-SMR-TES_1,2026,9737.387588,136,2.6,9.18
Nuclear-SMR-TES_1,2027,9646.749357,136,2.6,9.18
Nuclear-SMR-TES_1,2028,9556.111126,136,2.6,9.18
Nuclear-SMR-TES_1,2029,9465.472895,136,2.6,9.18
Nuclear-SMR-TES_1,2030,9374.834663,136,2.6,9.18
Nuclear-SMR-TES_1,2031,9065.213475,136,2.6,9.18
Nuclear-SMR-TES_1,2032,8755.592286,136,2.6,9.18
Nuclear-SMR-TES_1,2033,8445.971098,136,2.6,9.18
Nuclear-SMR-TES_1,2034,8136.349909,136,2.6,9.18
Nuclear-SMR-TES_1,2035,7826.728721,136,2.6,9.18
Nuclear-SMR-TES_1,2036,7567.107532,136,2.6,9.18
Nuclear-SMR-TES_1,2037,7307.486344,136,2.6,9.18
Nuclear-SMR-TES_1,2038,7047.865155,136,2.6,9.18
Nuclear-SMR-TES_1,2039,6788.243967,136,2.6,9.18
Nuclear-SMR-TES_1,2040,6528.622778,136,2.6,9.18
Nuclear-SMR-TES_1,2041,6369.00159,136,2.6,9.18
Nuclear-SMR-TES_1,2042,6209.380401,136,2.6,9.18
Nuclear-SMR-TES_1,2043,6049.759213,136,2.6,9.18
Nuclear-SMR-TES_1,2044,5890.138024,136,2.6,9.18
Nuclear-SMR-TES_1,2045,5730.516836,136,2.6,9.18
Nuclear-SMR-TES_1,2046,5620.895647,136,2.6,9.18
Nuclear-SMR-TES_1,2047,5511.274458,136,2.6,9.18
Nuclear-SMR-TES_1,2048,5401.65327,136,2.6,9.18
Nuclear-SMR-TES_1,2049,5292.032081,136,2.6,9.18
Nuclear-SMR-TES_1,2050,5182.410893,136,2.6,9.18
Nuclear-SMR-TES_2,2010,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2011,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2012,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2013,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2014,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2015,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2016,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2017,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2018,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2019,9858.854506,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_2,2020,9933.962288,128.9042058,3.37433865,10.455
Nuclear-SMR-TES_2,2021,10892.67593,128.304,3.3804,10.455
Nuclear-SMR-TES_2,2022,10234.2868,136,2.6,9.18
Nuclear-SMR-TES_2,2023,10137.84988,136,2.6,9.18
Nuclear-SMR-TES_2,2024,10041.41296,136,2.6,9.18
Nuclear-SMR-TES_2,2025,9944.976032,136,2.6,9.18
Nuclear-SMR-TES_2,2026,9848.539108,136,2.6,9.18
Nuclear-SMR-TES_2,2027,9752.102184,136,2.6,9.18
Nuclear-SMR-TES_2,2028,9655.665259,136,2.6,9.18
Nuclear-SMR-TES_2,2029,9559.228335,136,2.6,9.18
Nuclear-SMR-TES_2,2030,9462.791411,136,2.6,9.18
Nuclear-SMR-TES_2,2031,9152.554695,136,2.6,9.18
Nuclear-SMR-TES_2,2032,8842.317979,136,2.6,9.18
Nuclear-SMR-TES_2,2033,8532.081263,136,2.6,9.18
Nuclear-SMR-TES_2,2034,8221.844547,136,2.6,9.18
Nuclear-SMR-TES_2,2035,7911.607831,136,2.6,9.18
Nuclear-SMR-TES_2,2036,7651.371115,136,2.6,9.18
Nuclear-SMR-TES_2,2037,7391.134399,136,2.6,9.18
Nuclear-SMR-TES_2,2038,7130.897684,136,2.6,9.18
Nuclear-SMR-TES_2,2039,6870.660968,136,2.6,9.18
Nuclear-SMR-TES_2,2040,6610.424252,136,2.6,9.18
Nuclear-SMR-TES_2,2041,6450.187536,136,2.6,9.18
Nuclear-SMR-TES_2,2042,6289.95082,136,2.6,9.18
Nuclear-SMR-TES_2,2043,6129.714104,136,2.6,9.18
Nuclear-SMR-TES_2,2044,5969.477388,136,2.6,9.18
Nuclear-SMR-TES_2,2045,5809.240672,136,2.6,9.18
Nuclear-SMR-TES_2,2046,5699.003956,136,2.6,9.18
Nuclear-SMR-TES_2,2047,5588.76724,136,2.6,9.18
Nuclear-SMR-TES_2,2048,5478.530524,136,2.6,9.18
Nuclear-SMR-TES_2,2049,5368.293808,136,2.6,9.18
Nuclear-SMR-TES_2,2050,5258.057092,136,2.6,9.18
Nuclear-SMR-TES_3,2010,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2011,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2012,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2013,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2014,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2015,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2016,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2017,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2018,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2019,9993.200797,129.5986335,3.415967332,10.455
Nuclear-SMR-TES_3,2020,10068.30858,128.9042058,3.37433865,10.455
Nuclear-SMR-TES_3,2021,11027.02222,128.304,3.3804,10.455
Nuclear-SMR-TES_3,2022,10368.6331,136,2.6,9.18
Nuclear-SMR-TES_3,2023,10266.39748,136,2.6,9.18
Nuclear-SMR-TES_3,2024,10164.16186,136,2.6,9.18
Nuclear-SMR-TES_3,2025,10061.92624,136,2.6,9.18
Nuclear-SMR-TES_3,2026,9959.690627,136,2.6,9.18
Nuclear-SMR-TES_3,2027,9857.45501,136,2.6,9.18
Nuclear-SMR-TES_3,2028,9755.219393,136,2.6,9.18
Nuclear-SMR-TES_3,2029,9652.983776,136,2.6,9.18
Nuclear-SMR-TES_3,2030,9550.748159,136,2.6,9.18
Nuclear-SMR-TES_3,2031,9239.895916,136,2.6,9.18
Nuclear-SMR-TES_3,2032,8929.043672,136,2.6,9.18
Nuclear-SMR-TES_3,2033,8618.191429,136,2.6,9.18
Nuclear-SMR-TES_3,2034,8307.339185,136,2.6,9.18
Nuclear-SMR-TES_3,2035,7996.486942,136,2.6,9.18
Nuclear-SMR-TES_3,2036,7735.634699,136,2.6,9.18
