i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,8000.0,136.0,2.6,9.18
Nuclear-SMR,2031,7700.0,136.0,2.6,9.18
Nuclear-SMR,2032,7400.0,136.0,2.6,9.18
Nuclear-SMR,2033,7100.0,136.0,2.6,9.18
Nuclear-SMR,2034,6800.0,136.0,2.6,9.18
Nuclear-SMR,2035,6500.0,136.0,2.6,9.18
Nuclear-SMR,2036,6250.0,136.0,2.6,9.18
Nuclear-SMR,2037,6000.0,136.0,2.6,9.18
Nuclear-SMR,2038,5750.0,136.0,2.6,9.18
Nuclear-SMR,2039,5500.0,136.0,2.6,9.18
Nuclear-SMR,2040,5250.0,136.0,2.6,9.18
Nuclear-SMR,2041,5100.0,136.0,2.6,9.18
Nuclear-SMR,2042,4950.0,136.0,2.6,9.18
Nuclear-SMR,2043,4800.0,136.0,2.6,9.18
Nuclear-SMR,2044,4650.0,136.0,2.6,9.18
Nuclear-SMR,2045,4500.0,136.0,2.6,9.18
Nuclear-SMR,2046,4400.0,136.0,2.6,9.18
Nuclear-SMR,2047,4300.0,136.0,2.6,9.18
Nuclear-SMR,2048,4200.0,136.0,2.6,9.18
Nuclear-SMR,2049,4100.0,136.0,2.6,9.18
Nuclear-SMR,2050,4000.0,136.0,2.6,9.18
Nuclear-SMR-TES,2010,10,10,1,10.455
Nuclear-SMR-TES,2011,10,10,1,10.455
Nuclear-SMR-TES,2012,10,10,1,10.455
Nuclear-SMR-TES,2013,10,10,1,10.455
Nuclear-SMR-TES,2014,10,10,1,10.455
Nuclear-SMR-TES,2015,10,10,1,10.455
Nuclear-SMR-TES,2016,10,10,1,10.455
Nuclear-SMR-TES,2017,10,10,1,10.455
Nuclear-SMR-TES,2018,10,10,1,10.455
Nuclear-SMR-TES,2019,10,10,1,10.455
Nuclear-SMR-TES,2020,10,10,1,10.455
Nuclear-SMR-TES,2021,10,10,1,10.455
Nuclear-SMR-TES,2022,10,10,1,9.18
Nuclear-SMR-TES,2023,10,10,1,9.18
Nuclear-SMR-TES,2024,10,10,1,9.18
Nuclear-SMR-TES,2025,10,10,1,9.18
Nuclear-SMR-TES,2026,10,10,1,9.18
Nuclear-SMR-TES,2027,10,10,1,9.18
Nuclear-SMR-TES,2028,10,10,1,9.18
Nuclear-SMR-TES,2029,10,10,1,9.18
Nuclear-SMR-TES,2030,10,10,1,9.18
Nuclear-SMR-TES,2031,10,10,1,9.18
Nuclear-SMR-TES,2032,10,10,1,9.18
Nuclear-SMR-TES,2033,10,10,1,9.18
Nuclear-SMR-TES,2034,10,10,1,9.18
Nuclear-SMR-TES,2035,10,10,1,9.18
Nuclear-SMR-TES,2036,10,10,1,9.18
Nuclear-SMR-TES,2037,10,10,1,9.18
Nuclear-SMR-TES,2038,10,10,1,9.18
Nuclear-SMR-TES,2039,10,10,1,9.18
Nuclear-SMR-TES,2040,10,10,1,9.18
Nuclear-SMR-TES,2041,10,10,1,9.18
Nuclear-SMR-TES,2042,10,10,1,9.18
Nuclear-SMR-TES,2043,10,10,1,9.18
Nuclear-SMR-TES,2044,10,10,1,9.18
Nuclear-SMR-TES,2045,10,10,1,9.18
Nuclear-SMR-TES,2046,10,10,1,9.18
Nuclear-SMR-TES,2047,10,10,1,9.18
Nuclear-SMR-TES,2048,10,10,1,9.18
Nuclear-SMR-TES,2049,10,10,1,9.18
Nuclear-SMR-TES,2050,10,10,1,9.18
