i,t,capcost,fom,vom,heatrate
Nuclear-Stor1,2010,7686.711275,165.9481454,2.692053726,10.455
Nuclear-Stor1,2011,7633.565731,165.9481454,2.692053726,10.455
Nuclear-Stor1,2012,7580.420186,165.9481454,2.692053726,10.455
Nuclear-Stor1,2013,7527.27464,165.9481454,2.692053726,10.455
Nuclear-Stor1,2014,7474.129095,165.9481454,2.692053726,10.455
Nuclear-Stor1,2015,7420.983549,165.9481454,2.692053726,10.455
Nuclear-Stor1,2016,7367.838005,165.9481454,2.692053726,10.455
Nuclear-Stor1,2017,7314.692459,165.9481454,2.692053726,10.455
Nuclear-Stor1,2018,7261.546913,165.9481454,2.692053726,10.455
Nuclear-Stor1,2019,7208.401368,165.9481454,2.692053726,10.455
Nuclear-Stor1,2020,7172.069171,165.0426129,2.659247015,10.455
Nuclear-Stor1,2021,8065.093644,164.2896,2.6676,10.455
Nuclear-Stor1,2022,5750.0,175.0,2.8,10.497
Nuclear-Stor1,2023,5750.0,175.0,2.8,10.497
Nuclear-Stor1,2024,5750.0,175.0,2.8,10.497
Nuclear-Stor1,2025,5750.0,175.0,2.8,10.497
Nuclear-Stor1,2026,5750.0,175.0,2.8,10.497
Nuclear-Stor1,2027,5750.0,175.0,2.8,10.497
Nuclear-Stor1,2028,5750.0,175.0,2.8,10.497
Nuclear-Stor1,2029,5750.0,175.0,2.8,10.497
Nuclear-Stor1,2030,5750.0,175.0,2.8,10.497
Nuclear-Stor1,2031,5700.0,175.0,2.8,10.497
Nuclear-Stor1,2032,5650.0,175.0,2.8,10.497
Nuclear-Stor1,2033,5600.0,175.0,2.8,10.497
Nuclear-Stor1,2034,5550.0,175.0,2.8,10.497
Nuclear-Stor1,2035,5500.0,175.0,2.8,10.497
Nuclear-Stor1,2036,5350.0,175.0,2.8,10.497
Nuclear-Stor1,2037,5200.0,175.0,2.8,10.497
Nuclear-Stor1,2038,5050.0,175.0,2.8,10.497
Nuclear-Stor1,2039,4900.0,175.0,2.8,10.497
Nuclear-Stor1,2040,4750.0,175.0,2.8,10.497
Nuclear-Stor1,2041,4650.0,175.0,2.8,10.497
Nuclear-Stor1,2042,4550.0,175.0,2.8,10.497
Nuclear-Stor1,2043,4450.0,175.0,2.8,10.497
Nuclear-Stor1,2044,4350.0,175.0,2.8,10.497
Nuclear-Stor1,2045,4250.0,175.0,2.8,10.497
Nuclear-Stor1,2046,4150.0,175.0,2.8,10.497
Nuclear-Stor1,2047,4050.0,175.0,2.8,10.497
Nuclear-Stor1,2048,3950.0,175.0,2.8,10.497
Nuclear-Stor1,2049,3850.0,175.0,2.8,10.497
Nuclear-Stor1,2050,3750.0,175.0,2.8,10.497
Nuclear-Stor2,2010,7686.711275,165.9481454,2.692053726,10.455
Nuclear-Stor2,2011,7633.565731,165.9481454,2.692053726,10.455
Nuclear-Stor2,2012,7580.420186,165.9481454,2.692053726,10.455
Nuclear-Stor2,2013,7527.27464,165.9481454,2.692053726,10.455
Nuclear-Stor2,2014,7474.129095,165.9481454,2.692053726,10.455
Nuclear-Stor2,2015,7420.983549,165.9481454,2.692053726,10.455
Nuclear-Stor2,2016,7367.838005,165.9481454,2.692053726,10.455
Nuclear-Stor2,2017,7314.692459,165.9481454,2.692053726,10.455
Nuclear-Stor2,2018,7261.546913,165.9481454,2.692053726,10.455
Nuclear-Stor2,2019,7208.401368,165.9481454,2.692053726,10.455
Nuclear-Stor2,2020,7172.069171,165.0426129,2.659247015,10.455
Nuclear-Stor2,2021,8065.093644,164.2896,2.6676,10.455
Nuclear-Stor2,2022,5750.0,175.0,2.8,10.497
Nuclear-Stor2,2023,5750.0,175.0,2.8,10.497
Nuclear-Stor2,2024,5750.0,175.0,2.8,10.497
Nuclear-Stor2,2025,5750.0,175.0,2.8,10.497
Nuclear-Stor2,2026,5750.0,175.0,2.8,10.497
Nuclear-Stor2,2027,5750.0,175.0,2.8,10.497
Nuclear-Stor2,2028,5750.0,175.0,2.8,10.497
Nuclear-Stor2,2029,5750.0,175.0,2.8,10.497
Nuclear-Stor2,2030,5750.0,175.0,2.8,10.497
Nuclear-Stor2,2031,5700.0,175.0,2.8,10.497
Nuclear-Stor2,2032,5650.0,175.0,2.8,10.497
Nuclear-Stor2,2033,5600.0,175.0,2.8,10.497
Nuclear-Stor2,2034,5550.0,175.0,2.8,10.497
Nuclear-Stor2,2035,5500.0,175.0,2.8,10.497
Nuclear-Stor2,2036,5350.0,175.0,2.8,10.497
Nuclear-Stor2,2037,5200.0,175.0,2.8,10.497
Nuclear-Stor2,2038,5050.0,175.0,2.8,10.497
Nuclear-Stor2,2039,4900.0,175.0,2.8,10.497
Nuclear-Stor2,2040,4750.0,175.0,2.8,10.497
Nuclear-Stor2,2041,4650.0,175.0,2.8,10.497
Nuclear-Stor2,2042,4550.0,175.0,2.8,10.497
Nuclear-Stor2,2043,4450.0,175.0,2.8,10.497
Nuclear-Stor2,2044,4350.0,175.0,2.8,10.497
Nuclear-Stor2,2045,4250.0,175.0,2.8,10.497
Nuclear-Stor2,2046,4150.0,175.0,2.8,10.497
Nuclear-Stor2,2047,4050.0,175.0,2.8,10.497
Nuclear-Stor2,2048,3950.0,175.0,2.8,10.497
Nuclear-Stor2,2049,3850.0,175.0,2.8,10.497
Nuclear-Stor2,2050,3750.0,175.0,2.8,10.497
Nuclear-Stor3,2010,7686.711275,165.9481454,2.692053726,10.455
Nuclear-Stor3,2011,7633.565731,165.9481454,2.692053726,10.455
Nuclear-Stor3,2012,7580.420186,165.9481454,2.692053726,10.455
Nuclear-Stor3,2013,7527.27464,165.9481454,2.692053726,10.455
Nuclear-Stor3,2014,7474.129095,165.9481454,2.692053726,10.455
Nuclear-Stor3,2015,7420.983549,165.9481454,2.692053726,10.455
Nuclear-Stor3,2016,7367.838005,165.9481454,2.692053726,10.455
Nuclear-Stor3,2017,7314.692459,165.9481454,2.692053726,10.455
Nuclear-Stor3,2018,7261.546913,165.9481454,2.692053726,10.455
Nuclear-Stor3,2019,7208.401368,165.9481454,2.692053726,10.455
Nuclear-Stor3,2020,7172.069171,165.0426129,2.659247015,10.455
Nuclear-Stor3,2021,8065.093644,164.2896,2.6676,10.455
Nuclear-Stor3,2022,5750.0,175.0,2.8,10.497
Nuclear-Stor3,2023,5750.0,175.0,2.8,10.497
Nuclear-Stor3,2024,5750.0,175.0,2.8,10.497
Nuclear-Stor3,2025,5750.0,175.0,2.8,10.497
Nuclear-Stor3,2026,5750.0,175.0,2.8,10.497
Nuclear-Stor3,2027,5750.0,175.0,2.8,10.497
Nuclear-Stor3,2028,5750.0,175.0,2.8,10.497
Nuclear-Stor3,2029,5750.0,175.0,2.8,10.497
Nuclear-Stor3,2030,5750.0,175.0,2.8,10.497
Nuclear-Stor3,2031,5700.0,175.0,2.8,10.497
Nuclear-Stor3,2032,5650.0,175.0,2.8,10.497
Nuclear-Stor3,2033,5600.0,175.0,2.8,10.497
Nuclear-Stor3,2034,5550.0,175.0,2.8,10.497
Nuclear-Stor3,2035,5500.0,175.0,2.8,10.497
Nuclear-Stor3,2036,5350.0,175.0,2.8,10.497
Nuclear-Stor3,2037,5200.0,175.0,2.8,10.497
Nuclear-Stor3,2038,5050.0,175.0,2.8,10.497
Nuclear-Stor3,2039,4900.0,175.0,2.8,10.497
Nuclear-Stor3,2040,4750.0,175.0,2.8,10.497
Nuclear-Stor3,2041,4650.0,175.0,2.8,10.497
Nuclear-Stor3,2042,4550.0,175.0,2.8,10.497
Nuclear-Stor3,2043,4450.0,175.0,2.8,10.497
Nuclear-Stor3,2044,4350.0,175.0,2.8,10.497
Nuclear-Stor3,2045,4250.0,175.0,2.8,10.497
Nuclear-Stor3,2046,4150.0,175.0,2.8,10.497
Nuclear-Stor3,2047,4050.0,175.0,2.8,10.497
Nuclear-Stor3,2048,3950.0,175.0,2.8,10.497
Nuclear-Stor3,2049,3850.0,175.0,2.8,10.497
Nuclear-Stor3,2050,3750.0,175.0,2.8,10.497
Nuclear-Stor4,2010,7686.711275,165.9481454,2.692053726,10.455
Nuclear-Stor4,2011,7633.565731,165.9481454,2.692053726,10.455
Nuclear-Stor4,2012,7580.420186,165.9481454,2.692053726,10.455
Nuclear-Stor4,2013,7527.27464,165.9481454,2.692053726,10.455
Nuclear-Stor4,2014,7474.129095,165.9481454,2.692053726,10.455
Nuclear-Stor4,2015,7420.983549,165.9481454,2.692053726,10.455
Nuclear-Stor4,2016,7367.838005,165.9481454,2.692053726,10.455
Nuclear-Stor4,2017,7314.692459,165.9481454,2.692053726,10.455
Nuclear-Stor4,2018,7261.546913,165.9481454,2.692053726,10.455
Nuclear-Stor4,2019,7208.401368,165.9481454,2.692053726,10.455
Nuclear-Stor4,2020,7172.069171,165.0426129,2.659247015,10.455
Nuclear-Stor4,2021,8065.093644,164.2896,2.6676,10.455
Nuclear-Stor4,2022,5750.0,175.0,2.8,10.497
Nuclear-Stor4,2023,5750.0,175.0,2.8,10.497
Nuclear-Stor4,2024,5750.0,175.0,2.8,10.497
Nuclear-Stor4,2025,5750.0,175.0,2.8,10.497
Nuclear-Stor4,2026,5750.0,175.0,2.8,10.497
Nuclear-Stor4,2027,5750.0,175.0,2.8,10.497
Nuclear-Stor4,2028,5750.0,175.0,2.8,10.497
Nuclear-Stor4,2029,5750.0,175.0,2.8,10.497
Nuclear-Stor4,2030,5750.0,175.0,2.8,10.497
Nuclear-Stor4,2031,5700.0,175.0,2.8,10.497
Nuclear-Stor4,2032,5650.0,175.0,2.8,10.497
Nuclear-Stor4,2033,5600.0,175.0,2.8,10.497
Nuclear-Stor4,2034,5550.0,175.0,2.8,10.497
Nuclear-Stor4,2035,5500.0,175.0,2.8,10.497
Nuclear-Stor4,2036,5350.0,175.0,2.8,10.497
Nuclear-Stor4,2037,5200.0,175.0,2.8,10.497
Nuclear-Stor4,2038,5050.0,175.0,2.8,10.497
Nuclear-Stor4,2039,4900.0,175.0,2.8,10.497
Nuclear-Stor4,2040,4750.0,175.0,2.8,10.497
Nuclear-Stor4,2041,4650.0,175.0,2.8,10.497
Nuclear-Stor4,2042,4550.0,175.0,2.8,10.497
Nuclear-Stor4,2043,4450.0,175.0,2.8,10.497
Nuclear-Stor4,2044,4350.0,175.0,2.8,10.497
Nuclear-Stor4,2045,4250.0,175.0,2.8,10.497
Nuclear-Stor4,2046,4150.0,175.0,2.8,10.497
Nuclear-Stor4,2047,4050.0,175.0,2.8,10.497
Nuclear-Stor4,2048,3950.0,175.0,2.8,10.497
Nuclear-Stor4,2049,3850.0,175.0,2.8,10.497
Nuclear-Stor4,2050,3750.0,175.0,2.8,10.497
