i,t,capcost,fom,vom,rte
tes_ms14,2010,1,1,1,1
tes_ms14,2011,1,1,1,1
tes_ms14,2012,1,1,1,1
tes_ms14,2013,1,1,1,1
tes_ms14,2014,1,1,1,1
tes_ms14,2015,1,1,1,1
tes_ms14,2016,1,1,1,1
tes_ms14,2017,1,1,1,1
tes_ms14,2018,1,1,1,1
tes_ms14,2019,1,1,1,1
tes_ms14,2020,1,1,1,1
tes_ms14,2021,1,1,1,1
tes_ms14,2022,1,1,1,1
tes_ms14,2023,1,1,1,1
tes_ms14,2024,1,1,1,1
tes_ms14,2025,1,1,1,1
tes_ms14,2026,1,1,1,1
tes_ms14,2027,1,1,1,1
tes_ms14,2028,1,1,1,1
tes_ms14,2029,1,1,1,1
tes_ms14,2030,1,1,1,1
tes_ms14,2031,1,1,1,1
tes_ms14,2032,1,1,1,1
tes_ms14,2033,1,1,1,1
tes_ms14,2034,1,1,1,1
tes_ms14,2035,1,1,1,1
tes_ms14,2036,1,1,1,1
tes_ms14,2037,1,1,1,1
tes_ms14,2038,1,1,1,1
tes_ms14,2039,1,1,1,1
tes_ms14,2040,1,1,1,1
tes_ms14,2041,1,1,1,1
tes_ms14,2042,1,1,1,1
tes_ms14,2043,1,1,1,1
tes_ms14,2044,1,1,1,1
tes_ms14,2045,1,1,1,1
tes_ms14,2046,1,1,1,1
tes_ms14,2047,1,1,1,1
tes_ms14,2048,1,1,1,1
tes_ms14,2049,1,1,1,1
tes_ms14,2050,1,1,1,1
tes_ms10,2010,1,1,1,1
tes_ms10,2011,1,1,1,1
tes_ms10,2012,1,1,1,1
tes_ms10,2013,1,1,1,1
tes_ms10,2014,1,1,1,1
tes_ms10,2015,1,1,1,1
tes_ms10,2016,1,1,1,1
tes_ms10,2017,1,1,1,1
tes_ms10,2018,1,1,1,1
tes_ms10,2019,1,1,1,1
tes_ms10,2020,1,1,1,1
tes_ms10,2021,1,1,1,1
tes_ms10,2022,1,1,1,1
tes_ms10,2023,1,1,1,1
tes_ms10,2024,1,1,1,1
tes_ms10,2025,1,1,1,1
tes_ms10,2026,1,1,1,1
tes_ms10,2027,1,1,1,1
tes_ms10,2028,1,1,1,1
tes_ms10,2029,1,1,1,1
tes_ms10,2030,1,1,1,1
tes_ms10,2031,1,1,1,1
tes_ms10,2032,1,1,1,1
tes_ms10,2033,1,1,1,1
tes_ms10,2034,1,1,1,1
tes_ms10,2035,1,1,1,1
tes_ms10,2036,1,1,1,1
tes_ms10,2037,1,1,1,1
tes_ms10,2038,1,1,1,1
tes_ms10,2039,1,1,1,1
tes_ms10,2040,1,1,1,1
tes_ms10,2041,1,1,1,1
tes_ms10,2042,1,1,1,1
tes_ms10,2043,1,1,1,1
tes_ms10,2044,1,1,1,1
tes_ms10,2045,1,1,1,1
tes_ms10,2046,1,1,1,1
tes_ms10,2047,1,1,1,1
tes_ms10,2048,1,1,1,1
tes_ms10,2049,1,1,1,1
tes_ms10,2050,1,1,1,1
tes_ms8,2010,1,1,1,1
tes_ms8,2011,1,1,1,1
tes_ms8,2012,1,1,1,1
tes_ms8,2013,1,1,1,1
tes_ms8,2014,1,1,1,1
tes_ms8,2015,1,1,1,1
tes_ms8,2016,1,1,1,1
tes_ms8,2017,1,1,1,1
tes_ms8,2018,1,1,1,1
tes_ms8,2019,1,1,1,1
tes_ms8,2020,1,1,1,1
tes_ms8,2021,1,1,1,1
tes_ms8,2022,1,1,1,1
tes_ms8,2023,1,1,1,1
tes_ms8,2024,1,1,1,1
tes_ms8,2025,1,1,1,1
tes_ms8,2026,1,1,1,1
tes_ms8,2027,1,1,1,1
tes_ms8,2028,1,1,1,1
tes_ms8,2029,1,1,1,1
tes_ms8,2030,1,1,1,1
tes_ms8,2031,1,1,1,1
tes_ms8,2032,1,1,1,1
tes_ms8,2033,1,1,1,1
tes_ms8,2034,1,1,1,1
tes_ms8,2035,1,1,1,1
tes_ms8,2036,1,1,1,1
tes_ms8,2037,1,1,1,1
tes_ms8,2038,1,1,1,1
tes_ms8,2039,1,1,1,1
tes_ms8,2040,1,1,1,1
tes_ms8,2041,1,1,1,1
tes_ms8,2042,1,1,1,1
tes_ms8,2043,1,1,1,1
tes_ms8,2044,1,1,1,1
tes_ms8,2045,1,1,1,1
tes_ms8,2046,1,1,1,1
tes_ms8,2047,1,1,1,1
tes_ms8,2048,1,1,1,1
tes_ms8,2049,1,1,1,1
tes_ms8,2050,1,1,1,1
tes_ms6,2010,1,1,1,1
tes_ms6,2011,1,1,1,1
tes_ms6,2012,1,1,1,1
tes_ms6,2013,1,1,1,1
tes_ms6,2014,1,1,1,1
tes_ms6,2015,1,1,1,1
tes_ms6,2016,1,1,1,1
tes_ms6,2017,1,1,1,1
tes_ms6,2018,1,1,1,1
tes_ms6,2019,1,1,1,1
tes_ms6,2020,1,1,1,1
tes_ms6,2021,1,1,1,1
tes_ms6,2022,1,1,1,1
tes_ms6,2023,1,1,1,1
tes_ms6,2024,1,1,1,1
tes_ms6,2025,1,1,1,1
tes_ms6,2026,1,1,1,1
tes_ms6,2027,1,1,1,1
tes_ms6,2028,1,1,1,1
tes_ms6,2029,1,1,1,1
tes_ms6,2030,1,1,1,1
tes_ms6,2031,1,1,1,1
tes_ms6,2032,1,1,1,1
tes_ms6,2033,1,1,1,1
tes_ms6,2034,1,1,1,1
tes_ms6,2035,1,1,1,1
tes_ms6,2036,1,1,1,1
tes_ms6,2037,1,1,1,1
tes_ms6,2038,1,1,1,1
tes_ms6,2039,1,1,1,1
tes_ms6,2040,1,1,1,1
tes_ms6,2041,1,1,1,1
tes_ms6,2042,1,1,1,1
tes_ms6,2043,1,1,1,1
tes_ms6,2044,1,1,1,1
tes_ms6,2045,1,1,1,1
tes_ms6,2046,1,1,1,1
tes_ms6,2047,1,1,1,1
tes_ms6,2048,1,1,1,1
tes_ms6,2049,1,1,1,1
tes_ms6,2050,1,1,1,1
