file,i,Scenario,DisplayName
mstes_ATB_2022_moderate,mstes_2,Moderate,Utility-Scale Molten Salt Thermal Storage - 2Hr
mstes_ATB_2022_moderate,mstes_4,Moderate,Utility-Scale Molten Salt Thermal Storage - 4Hr
mstes_ATB_2022_moderate,mstes_6,Moderate,Utility-Scale Molten Salt Thermal Storage - 6Hr
mstes_ATB_2022_moderate,mstes_8,Moderate,Utility-Scale Molten Salt Thermal Storage - 8Hr
mstes_ATB_2022_moderate,mstes_10,Moderate,Utility-Scale Molten Salt Thermal Storage - 10Hr
mstes_ATB_2022_moderate,mstes_12,Moderate,Utility-Scale Molten Salt Thermal Storage - 12Hr
mstes_ATB_2022_moderate,mstes_24,Moderate,Utility-Scale Molten Salt Thermal Storage - 24Hr
mstes_ATB_2022_moderate,mstes_48,Moderate,Utility-Scale Molten Salt Thermal Storage - 48Hr
mstes_ATB_2022_moderate,mstes_72,Moderate,Utility-Scale Molten Salt Thermal Storage - 72Hr
mstes_ATB_2022_moderate,mstes_100,Moderate,Utility-Scale Molten Salt Thermal Storage - 100Hr
mstes_ATB_2022_advanced,mstes_2,Advanced,Utility-Scale Molten Salt Thermal Storage - 2Hr
mstes_ATB_2022_advanced,mstes_4,Advanced,Utility-Scale Molten Salt Thermal Storage - 4Hr
mstes_ATB_2022_advanced,mstes_6,Advanced,Utility-Scale Molten Salt Thermal Storage - 6Hr
mstes_ATB_2022_advanced,mstes_8,Advanced,Utility-Scale Molten Salt Thermal Storage - 8Hr
mstes_ATB_2022_advanced,mstes_10,Advanced,Utility-Scale Molten Salt Thermal Storage - 10Hr
mstes_ATB_2022_advanced,mstes_12,Advanced,Utility-Scale Molten Salt Thermal Storage - 12Hr
mstes_ATB_2022_advanced,mstes_24,Advanced,Utility-Scale Molten Salt Thermal Storage - 24Hr
mstes_ATB_2022_advanced,mstes_48,Advanced,Utility-Scale Molten Salt Thermal Storage - 48Hr
mstes_ATB_2022_advanced,mstes_72,Advanced,Utility-Scale Molten Salt Thermal Storage - 72Hr
mstes_ATB_2022_advanced,mstes_100,Advanced,Utility-Scale Molten Salt Thermal Storage - 100Hr
mstes_ATB_2022_conservative,mstes_2,Conservative,Utility-Scale Molten Salt Thermal Storage - 2Hr
mstes_ATB_2022_conservative,mstes_4,Conservative,Utility-Scale Molten Salt Thermal Storage - 4Hr
mstes_ATB_2022_conservative,mstes_6,Conservative,Utility-Scale Molten Salt Thermal Storage - 6Hr
mstes_ATB_2022_conservative,mstes_8,Conservative,Utility-Scale Molten Salt Thermal Storage - 8Hr
mstes_ATB_2022_conservative,mstes_10,Conservative,Utility-Scale Molten Salt Thermal Storage - 10Hr
mstes_ATB_2022_conservative,mstes_12,Conservative,Utility-Scale Molten Salt Thermal Storage - 12Hr
mstes_ATB_2022_conservative,mstes_24,Conservative,Utility-Scale Molten Salt Thermal Storage - 24Hr
mstes_ATB_2022_conservative,mstes_48,Conservative,Utility-Scale Molten Salt Thermal Storage - 48Hr
mstes_ATB_2022_conservative,mstes_72,Conservative,Utility-Scale Molten Salt Thermal Storage - 72Hr
mstes_ATB_2022_conservative,mstes_100,Conservative,Utility-Scale Molten Salt Thermal Storage - 100Hr
